GISJOIN,YEAR,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,NAME,BTTRA,BTBGA,AH37M001,AH37M002,AH37M003
"G0100010","2013-2017",,,"Alabama","01","Autauga County","001",,,,,,,,,,,,,,,,,,,,,,,,,,,"Autauga County, Alabama",,,387,473,472
"G0100030","2013-2017",,,"Alabama","01","Baldwin County","003",,,,,,,,,,,,,,,,,,,,,,,,,,,"Baldwin County, Alabama",,,1153,1089,1054
"G0100050","2013-2017",,,"Alabama","01","Barbour County","005",,,,,,,,,,,,,,,,,,,,,,,,,,,"Barbour County, Alabama",,,337,280,303
"G0100070","2013-2017",,,"Alabama","01","Bibb County","007",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bibb County, Alabama",,,308,264,239
"G0100090","2013-2017",,,"Alabama","01","Blount County","009",,,,,,,,,,,,,,,,,,,,,,,,,,,"Blount County, Alabama",,,392,463,448
"G0100110","2013-2017",,,"Alabama","01","Bullock County","011",,,,,,,,,,,,,,,,,,,,,,,,,,,"Bullock County, Alabama",,,204,232,251
"G0100130","2013-2017",,,"Alabama","01","Butler County","013",,,,,,,,,,,,,,,,,,,,,,,,,,,"Butler County, Alabama",,,313,227,196
"G0100150","2013-2017",,,"Alabama","01","Calhoun County","015",,,,,,,,,,,,,,,,,,,,,,,,,,,"Calhoun County, Alabama",,,742,709,873
"G0100170","2013-2017",,,"Alabama","01","Chambers County","017",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chambers County, Alabama",,,413,386,365
"G0100190","2013-2017",,,"Alabama","01","Cherokee County","019",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cherokee County, Alabama",,,438,429,372
"G0100210","2013-2017",,,"Alabama","01","Chilton County","021",,,,,,,,,,,,,,,,,,,,,,,,,,,"Chilton County, Alabama",,,388,488,411
"G0100230","2013-2017",,,"Alabama","01","Choctaw County","023",,,,,,,,,,,,,,,,,,,,,,,,,,,"Choctaw County, Alabama",,,200,219,181
"G0100250","2013-2017",,,"Alabama","01","Clarke County","025",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clarke County, Alabama",,,271,311,326
"G0100270","2013-2017",,,"Alabama","01","Clay County","027",,,,,,,,,,,,,,,,,,,,,,,,,,,"Clay County, Alabama",,,248,287,200
"G0100290","2013-2017",,,"Alabama","01","Cleburne County","029",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cleburne County, Alabama",,,182,226,237
"G0100310","2013-2017",,,"Alabama","01","Coffee County","031",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coffee County, Alabama",,,343,423,456
"G0100330","2013-2017",,,"Alabama","01","Colbert County","033",,,,,,,,,,,,,,,,,,,,,,,,,,,"Colbert County, Alabama",,,386,465,445
"G0100350","2013-2017",,,"Alabama","01","Conecuh County","035",,,,,,,,,,,,,,,,,,,,,,,,,,,"Conecuh County, Alabama",,,255,235,177
"G0100370","2013-2017",,,"Alabama","01","Coosa County","037",,,,,,,,,,,,,,,,,,,,,,,,,,,"Coosa County, Alabama",,,230,209,188
"G0100390","2013-2017",,,"Alabama","01","Covington County","039",,,,,,,,,,,,,,,,,,,,,,,,,,,"Covington County, Alabama",,,303,303,275
"G0100410","2013-2017",,,"Alabama","01","Crenshaw County","041",,,,,,,,,,,,,,,,,,,,,,,,,,,"Crenshaw County, Alabama",,,156,160,137
"G0100430","2013-2017",,,"Alabama","01","Cullman County","043",,,,,,,,,,,,,,,,,,,,,,,,,,,"Cullman County, Alabama",,,567,530,508
"G0100450","2013-2017",,,"Alabama","01","Dale County","045",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dale County, Alabama",,,409,471,553
"G0100470","2013-2017",,,"Alabama","01","Dallas County","047",,,,,,,,,,,,,,,,,,,,,,,,,,,"Dallas County, Alabama",,,390,391,426
"G0100490","2013-2017",,,"Alabama","01","DeKalb County","049",,,,,,,,,,,,,,,,,,,,,,,,,,,"DeKalb County, Alabama",,,571,507,577
"G0100510","2013-2017",,,"Alabama","01","Elmore County","051",,,,,,,,,,,,,,,,,,,,,,,,,,,"Elmore County, Alabama",,,575,571,631
"G0100530","2013-2017",,,"Alabama","01","Escambia County","053",,,,,,,,,,,,,,,,,,,,,,,,,,,"Escambia County, Alabama",,,381,382,334
"G0100550","2013-2017",,,"Alabama","01","Etowah County","055",,,,,,,,,,,,,,,,,,,,,,,,,,,"Etowah County, Alabama",,,611,556,626
"G0100570","2013-2017",,,"Alabama","01","Fayette County","057",,,,,,,,,,,,,,,,,,,,,,,,,,,"Fayette County, Alabama",,,257,283,224
"G0100590","2013-2017",,,"Alabama","01","Franklin County","059",,,,,,,,,,,,,,,,,,,,,,,,,,,"Franklin County, Alabama",,,334,373,370
"G0100610","2013-2017",,,"Alabama","01","Geneva County","061",,,,,,,,,,,,,,,,,,,,,,,,,,,"Geneva County, Alabama",,,264,292,255
"G0100630","2013-2017",,,"Alabama","01","Greene County","063",,,,,,,,,,,,,,,,,,,,,,,,,,,"Greene County, Alabama",,,223,216,206
"G0100650","2013-2017",,,"Alabama","01","Hale County","065",,,,,,,,,,,,,,,,,,,,,,,,,,,"Hale County, Alabama",,,216,205,166
"G0100670","2013-2017",,,"Alabama","01","Henry County","067",,,,,,,,,,,,,,,,,,,,,,,,,,,"Henry County, Alabama",,,219,234,186
"G0100690","2013-2017",,,"Alabama","01","Houston County","069",,,,,,,,,,,,,,,,,,,,,,,,,,,"Houston County, Alabama",,,359,357,381
"G0100710","2013-2017",,,"Alabama","01","Jackson County","071",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jackson County, Alabama",,,433,453,436
"G0100730","2013-2017",,,"Alabama","01","Jefferson County","073",,,,,,,,,,,,,,,,,,,,,,,,,,,"Jefferson County, Alabama",,,1741,1764,1754
"G0100750","2013-2017",,,"Alabama","01","Lamar County","075",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lamar County, Alabama",,,247,242,208
"G0100770","2013-2017",,,"Alabama","01","Lauderdale County","077",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lauderdale County, Alabama",,,520,580,648
"G0100790","2013-2017",,,"Alabama","01","Lawrence County","079",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lawrence County, Alabama",,,356,347,289
"G0100810","2013-2017",,,"Alabama","01","Lee County","081",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lee County, Alabama",,,693,862,880
"G0100830","2013-2017",,,"Alabama","01","Limestone County","083",,,,,,,,,,,,,,,,,,,,,,,,,,,"Limestone County, Alabama",,,425,589,567
"G0100850","2013-2017",,,"Alabama","01","Lowndes County","085",,,,,,,,,,,,,,,,,,,,,,,,,,,"Lowndes County, Alabama",,,163,183,147
"G0100870","2013-2017",,,"Alabama","01","Macon County","087",,,,,,,,,,,,,,,,,,,,,,,,,,,"Macon County, Alabama",,,258,181,232
"G0100890","2013-2017",,,"Alabama","01","Madison County","089",,,,,,,,,,,,,,,,,,,,,,,,,,,"Madison County, Alabama",,,1289,1207,1373
"G0100910","2013-2017",,,"Alabama","01","Marengo County","091",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marengo County, Alabama",,,303,320,289
"G0100930","2013-2017",,,"Alabama","01","Marion County","093",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marion County, Alabama",,,383,349,344
"G0100950","2013-2017",,,"Alabama","01","Marshall County","095",,,,,,,,,,,,,,,,,,,,,,,,,,,"Marshall County, Alabama",,,510,578,605
"G0100970","2013-2017",,,"Alabama","01","Mobile County","097",,,,,,,,,,,,,,,,,,,,,,,,,,,"Mobile County, Alabama",,,1166,1125,1198
"G0100990","2013-2017",,,"Alabama","01","Monroe County","099",,,,,,,,,,,,,,,,,,,,,,,,,,,"Monroe County, Alabama",,,298,280,338
"G0101010","2013-2017",,,"Alabama","01","Montgomery County","101",,,,,,,,,,,,,,,,,,,,,,,,,,,"Montgomery County, Alabama",,,893,822,951
"G0101030","2013-2017",,,"Alabama","01","Morgan County","103",,,,,,,,,,,,,,,,,,,,,,,,,,,"Morgan County, Alabama",,,622,725,657
